1,aa,"kependekan dari aka, akang, atau kakang"
2,"aber, ngaber, aber-aberan","bepergian, bermain-main ke tempat yang jauh"
3,"ablag, ngablag","terbuka, terbukata terus"
4,"ablu, ngablu","pergi main kemana-mana, kerja tak keruan (tanpa tujuan)"
5,"abong, abong-abong, abong deui, abong kena",biasa dikatakan kalau ada hal yang kurang enak atau kurang tepat
6,"abreg, ambreg, ngabreg",(orang banyak yang) datang bersama
7,"abret, ngabret, abret-abretan",lari sambil meloncat-loncat
8,"abring, ngarbing",(serombongan orang) berjalan bersama-sama
9,"abrug, abrug-abrugan",tidak mau diam dan meronta-ronta
10,"abrul, ngabrul, abrulan","ke luar atau pergi bersama-sama, rombongan yang datang pergi bersama-sama"
11,"abur, diabur, abur-aburan","dibiarkan mencari makanan sendiri (binatang), pergi jauh sambil berpindah-pinudah tempat"
12,abus,masuk ke dalam
13,acan,belum (keadaan yg menunjukkan sebelum kejadian)
14,aceuk,"perubahan dari lanceuk, panggilan kpd kakak peremepuan utau yang lebih tua"
15,"acleng, ngacleng","terpelanting, loncat (binatang kecil)"
16,"aclog, ngaclog","melompat (katak, dsb)"
17,"acos, ucas-acos","tidak masuk-masuk ujung sesuatu yang dimasukkan ke dalam lubang (memasukkan benang ke lubang jarum, dsb)"
18,"acreug, acreug-acreugan",melompat-lompat ke atas
19,adeuh,"pertimbangan, perasaan hati-hati"
20,adigung,takebur
21,"adug, adug-adugan","meronta-ronta, menggerak-gerakkan badan ingin melepaskan diri dr belenggu orang"
22,aduy,"hampir hancur, sangat lembek"
23,aeh,"kalau lupa, kaget, merasa heran"
24,"aeuk, aeuk-aeukan","menangis dgn suara keras, lama dan spt dilagukan"
25,"agag, agag-agagan",ragu-ragu melakukannya
26,"ageh, agehan",sisihkan sebagian buat yang lain
27,agreng,besar dan bagus serta teratur (bangunan)
28,agul,"bangga, senang memperlihatkan atau menceritakan kelebihannya"
29,aheng,"aneh, ajaib"
30,aing,"saya, aku"
31,"ais, ngais",ngais
32,"ajang, jang","utk, bagi, buat"
33,ajen,"nilai, harga"
34,"ajle, ajle-ajlean",meloncat-loncat dengan sebelah kaki
35,"ajleng, ngajleng","loncat, meloncat"
36,"ajol, ngajol",melompat secara mendadak
37,"ajrag, ajrag-ajragan","lonjak, melonjak-lonjak karena kegirangan"
38,"ajret, ajret-ajretan",lari dan meloncat-loncat (spt anak kambing)
39,"ajrih, ajrihing gawe","malu, segan (karena wibawa seseorang), malas bekerja"
40,"ajrug, ngajrug",meloncat  melewati atas
41,"ajrut, ngajrut",loncat ke bawah
42,"ajul, ngajul","jolok, mengambil buah-buahan dengan galah, menjolok"
43,ajur,hancur berkeping-keping
44,"akeul, ngakeul",membalik-balik nasi yang baru diangkat dr kukusan sambil dikipasi supaya dingin dan pulan
45,"akeup, ngakeup, akeup-akeup, akeup-andong","menggendong pada dada anak, mendekapi, serangga kecil dalalm air (sawah) yang biasa mendukung telurnya"
46,"akey, akey-akeyan",tertawa terpingkal-pingkal
47,"akut, ngakut, nyakut nanah, akut-akut","mengangkut atau memindahkan padi di sawah ke kampung (ke lumbung dekat rumah), saat terasa amat sakit
karena nanah pd bisul mulai berkumpuI, beberapa kali membawa barang (biasanya barang ringan)"
48,"ala, ngala, alaeuh, bulan alaeun, pangala","menangkap, mencari, mengambil, memanggil, sudah waktunya (dipetik dsb), sudah sembilan
bulan (mengandung), penghasilan"
49,"alah, alah-alahan, alah batan, alah manan","aduh, aduh-aduhan, lebih dari (pada)"
50,"alangah, alangah-elengeh",tersenyum-senyum
51,aleng-alengan,menangis keras dan lama
52,alesan,alasan
53,"aleu, ngaleu",bersuara panjang dan dilagukan
54,"aleut, ngaleut","berjalan beriring-iringan, berduyun-duyun"
55,alewoh,"berbicara terus, bercerita agak cepat dan ribut sambil tak berhenti-henti"
56,"alih, ngalih, ulah-alih","pindah, berpindah pindah"
57,"aling, aling-aling","sekat, penghalang"
58,"alit, pangalitan","kecil, manja"
59,alo,"keponakan, kemenakan, anak kakak"
60,alon,"pelan-pelan, perlahan-lahan, lambat-lambat"
61,alpukah,inisiatif
62,aluk,lebih baik
63,"alung, ngalungkeun, alung boyong, dialungboyongkeun","melemparkan, permainan lempar-lemparan bola anak-anak, disuruh ke sana ke mari"
64,alur,bekas yang memanjang di permukaan tanah
65,"alus, kasakit alus, mayit alus","baik atau bagus, penyakit cacar, mayat orang yg saleh"
66,am,menyatakan mulai menyuap
67,amacak,berserakan (kata lain dr ambacak)
68,amarah,marah
69,"amat, pageto amat",sehari sesudah lusa
70,amba,kata lain dr rungkang
71,"ambah, ngambah","melalui, mengarungi, menuju"
72,"ambal, ambal-ambalan",keras dan lama
73,ambarayah,"berantakan dan kotor, bertebaran"
74,ambarikut,kata lain dr angkaribung
75,"ambat, ngambat",menyebut-nyebut nama orang lain sbg teman pd waktu melakukan kejahatan
76,"ambat, ngambat",menyebut-nyebut nama orang lain sbg teman pd waktu melakukan kejahatan
77,"ambay, ngambay",terjuntai
78,"ambek, ngambek, ambek-ambekan","rasa marah karena kesal, gemas, marah (dgn ucapan-ucapan dan gerak lagunya)"
79,"ambekan, ngambekan","bernapas,  menarik nafas, menghirup dan mengalurkan udara"
80,amben,"bangku, serambi"
81,"ambeng, ngambeng, ambengan","menyajikan makanan, hidangan"
82,"ambeu, ngambeu, ngambeuan","bau, mencium, sengaja mencium baunya (harumnya)"
83,"ambleng, ambleng-amblengan","lama sekali tiada kabar berita, lama tidak datang-datang"
84,ambles,masuk semua kedalam lumpur dsb
85,ambrug,"runtuh, ambruk"
86,ambucuy,menimbulkan selera karena warnanya kemerah-merahan spt manis (jambu air)
87,"ambul, ngambul",muncul dari dalam air
88,ambung,"mencium (bau, wangi)"
89,amburadul,rusak dan berantakan
90,amburatel,"mengenai beberapa benda atau orang (cat dsb), menjalar, tersiar"
91,"amen, ngamen","mencari nafkah dgn mempertontonkan keterampilan atau seni spt tari topeng, nyanyi"
92,ameng,"main, bermain-main"
93,amis cangkeng,makanan dr tepung beras dicampur gula dan air santan dibungkus daun pisang
94,amis cau,rambut tipis pd dahi gadis remaja
95,amis daging,"mudah ketularan penyakit (kudis, borok)"
96,"amis kopi, amis jambu",agak manis
97,"amis, amis-amis","manis, makanan yang rasanya serba manis (kue dsb)"
98,"amit, pamit","pamitan, permisi, minta diri, minta izin"
99,amlongan,becek karena air tergenang
100,"ampar, ngampar, ngamparkeun","hampar, menghamparkan, membentangkan (tikar dsb)"
101,"amparan, saampar samak","tikar, sebidang tidak terhalang oleh milik orang lain (tanah, sawah)"
102,ampeg,berat berisi
103,"ampet, ngampet","sengaja menyumbat (saluran air, got, dsb)"
104,"ampeuh, kaampeuh","tahan, tertahan"
105,"ampih, ngampih, ampih-ampih, ngampihan, ngampihkeun, pangampih","ke rumah atau kandang pd sore hari, membereskan kembali, menyimpan kembali pd tempatnya, menyimpan, memasukkan binatang ke kandang, saudara yg membantu di rumah tangga tapi sambil disekolahkan bahkan dicarikan pekerjaan"
106,"amprok, paamrok, diamprokkeun","bertemu, berjumpa, saling bertemu dgn tidak diduga-duga terlebih dahulu, sengaja dipertemukan (dijodohkan)"
