1,aa,"kata pengganti aka, akang, atau kakang"
2,"aber, ngaber, aber-aberan","bepergian, bermain-main ke tempat yang jauh"
3,"ablag, ngablag","terbuka, terbukata terus"
4,"ablu, ngablu","pergi main kemana-mana, kerja tak keruan (tanpa tujuan)"
5,"abong, abong-abong, abong deui, abong kena",biasa dikatakan kalau ada hal yang kurang enak atau kurang tepat
6,"abreg, ambreg, ngabreg",(orang banyak yang) datang bersama
7,"abret, ngabret, abret-abretan",lari sambil loncat-loncat
8,"abring, ngarbing",(serombongan orang) berjalan bersama-sama
9,"abrug, abrug-abrugan",tidak mau diam dan meronta-ronta
10,"abrul, ngabrul, abrulan","ke luar atau pergi bersama-sama, rombongan yang datang pergi bersama-sama"
11,"abur, diabur, abur-aburan","dibiarkan menncari makanan sendiri (binatang), pergi jauh sambil berpindah-pinudah tempat"
12,abus,masuk ke dalam
13,acan,belum
14,aceuk,"perubahan dari lanceuk, panggilan kpd kakak peremepuan utau yang lebih tua"
15,"acleng, ngacleng","terpelanting, loncat (binatang kecil)"
16,"aclog, ngaclog","melompat (katak, dsb)"
17,"acos, ucas-acos","tidak masuk-masuk ujung sesuatu yang dimasukkan ke dalam lubang (memasukkan benang ke lubang jarum, dsb)"
18,"acreug, acreug-acreugan",melompat-lompat ke atas
19,adeuh,"pertimbangan, perasaan hati-hati"
20,adigung,takebur
21,aduy,"hampir hancur, sangat lembek"
22,aeh,"kalau lupa, kaget, merasa heran"
23,"aeuk, aeuk-aeukan","menangis dgn suara keras, lama dan spt dilagukan"
24,"agag, agag-agagan",ragu-ragu melakukannya
25,"ageh, agehan",sisihkan sebagian buat yang lain
26,agreng,besar dan bagus serta teratur (bangunan)
27,agul,"bangga, senang memperlihatkan atau menceritakan kelebihannya"
28,aheng,"aneh, ajaib"
29,aing,"saya, aku"
30,ais,ngais
31,"ajang, jang","utk, bagi, buat"
32,ajen,"nilai, harga"
33,"ajing, bajing kuning","tupai, tupai bulunya bergaris kuning"
34,"ajle, ajle-ajlean",meloncat-loncat dengan sebelah kaki
35,"ajleng, ngajleng","loncat, meloncat"
36,"ajol, ngajol",melompat secara mendadak
37,"ajrag, ajrag-ajragan","lonjak, melonjak-lonjak karena kegirangan"
38,"ajret, ajret-ajretan",lari dan meloncat-loncat (spt anak kambing)
39,ajrih,"malu, segan (karena wibawa seseorang)"
40,"ajrug, ngajrug",meloncat  melewati atas
41,"ajrut, ngajrut",loncat ke bawah
42,"ajul, ngajul","jolok, mengambil buah-buahan dengan galah, menjolok"
43,ajur,hancur berkeping-keping
44,"akeul, ngakeul",membalik-balik nasi yang baru diangkat dr kukusan sambil dikipasi supaya dingin dan pulan
45,"akeup-akeup, akeup-andong",serangga kecil dalalm air (sawah) yang biasa mendukung telurnya
46,"akeup, ngakeup","menggendong pada dada anak, mendekapi"
47,"akey, akey-akeyan",tertawa terpingkal-pingkal
48,akut-akut,beberapa kali membawa barang (biasanya barang ringan)
49,"akut, ngakut",mengangkut atau memindahkan padi di sawah ke kampung (ke lumbung dekat rumah)
50,"ala, ngala","menangkap, mencari, mengambil, memanggil"
51,alaeuh,sudah waktunya (dipetik dsb)
52,"alah batan, alah manan",lebih dari (pada)
53,"alah, alah-alahan","aduh, aduh-aduhan"
54,"alangah, alangah-elengeh",tersenyum-senyum
55,aleng-alengan,menangis keras dan lama
56,alesan,alasan
57,"aleu, ngaleu",bersuara panjang dan dilagukan
58,"aleut, ngaleut","berjalan beriring-iringan, berduyun-duyun"
59,alewoh,"berbicara terus, bercerita agak cepat dan ribut sambil tak berhenti-henti"
60,"alih, ngalih, ulah-alih","pindah, berpindah pindah"
61,"aling, aling-aling","sekat, penghalang"
62,"alit, pangalitan","kecil, manja"
63,alo,"keponakan, kemenakan, anak kakak"
64,alon,"pelan-pelan, perlahan-lahan, lambat-lambat"
65,alpukah,inisiatif
66,aluk,lebih baik
67,alung boyong,permainan lempar-lemparan bola anak-anak
68,"alung, ngalungkeun",melemparkan
69,alur,bekas yang memanjang di permukaan tanah
70,alus,"baik, bagus"
71,am,menyatakan mulai menyuap
72,amacak,berserakan
73,amarah,marah
74,"amat, pageto amat",sehari sesudah lusa
75,"ambah, ngambah","melalui, mengarungi, menuju"
76,"ambal, ambal-ambalan",keras dan lama
77,ambarayah,"berantakan dan kotor, bertebaran"
78,"ambat, ngambat",menyebut-nyebut nama orang lain sbg teman pd waktu melakukan kejahatan
79,"ambay, ngambay",terjuntai
80,"ambek, ngambek, ambek-ambekan","rasa marah karena kesal, gemas, marah (dgn ucapan-ucapan dan gerak lagunya)"
81,"ambekan, ngambekan","bernapas,  menarik nafas, menghirup dan mengalurkan udara"
82,amben,"bangku, serambi"
83,"ambeng, ngambeng, ambengan","menyajikan makanan, hidangan"
84,"ambeu, ngambeu, ngambeuan","bau, mencium, sengaja mencium baunya (harumnya)"
85,ambles,masuk semua kedalam lumpur dsb
86,ambling,lama sekali tidak ada kabar
87,ambrug,"runtuh, ambruk"
88,ambucuy,menimbulkan selera karena warnanya kemerah-merahan spt manis (jambu air)
89,"ambul, ngambul",muncul dari dalam air
90,ambung,"mencium (bau, wangi)"
91,amburadul,rusak dan berantakan
92,amburatel,"mengenai beberapa benda atau orang (cat dsb), menjalar, tersiar"
93,"amen, ngamen","mencari nafkah dgn mempertontonkan keterampilan atau seni spt tari topeng, nyanyi"
94,ameng,"main, bermain-main"
95,amis cangkeng,makanan dr tepung beras dicampur gula dan air santan dibungkus daun pisang
96,amis cau,rambut tipis pd dahi gadis remaja
97,amis daging,"mudah ketularan penyakit (kudis, borok)"
98,"amis kopi, amis jambu",agak manis
99,"amis, amis-amis","manis, makanan yang rasanya serba manis (kue dsb)"
100,"amit, pamit","pamitan, permisi, minta diri, minta izin"
101,amlongan,becek karena air tergenang
102,"among, mung",hanya
103,"ampar, ngampar, ngamparkeun","hampar, menghamparkan, membentangkan (tikar dsb)"
104,"amparan, saampar samak","tikar, sebidang tidak terhalang oleh milik orang lain (tanah, sawah)"
105,ampeg,berat berisi
106,"ampet, ngampet","sengaja menyumbat (saluran air, got, dsb)"
107,"ampeuh, kaampeuh","tahan, tertahan"
108,"ampih, ngampih",ke rumah atau kandang
109,amprok,"bertemu, berjumpa"
110,"amprut, amprut-amprutan","berjalan jauh kadang-kadang tanpa melalui jalan yang biasa dilalui orang lain, memintas-mintas"
111,amrih,"maksud, niat hati"
112,amuk-amukan,marah-marah kepada siapa saja yang ada spt orang yang mengamuk
113,"amuk, ngamuk",mengamuk
114,"amung, mung, namung",hanya
115,ana,kalau
116,anak kolong,anak serdadu
117,anca,"pelan, tidak keras"
118,ancak,"anyaman dari bambu yang jarang, tempat makanan utk sajen"
119,"ancal, ancal-ancalan",berjauhan kelompok atau bidang yang satu dgn yang lain
120,ancemon,"duduk bersimpuh, makanan terbuat dr parutan kasar ketela pohon yang dikukus serta diberi parutan kelapa"
121,"ancik, ngancik","diam menetap, tinggal menetap"
122,ancin,makan sedikit karena sakit atau kebiasaan
123,"anclang, nganclang",(be) pergi (an) jauh
124,anclom,kena kena atau masuk ke dalam air atu barang cair
125,"anclong, nganclong",pergi tanpa tujuan
126,"anco, ancoan","sedang, cadangan"
127,ancrub,turun ke dalam air
128,ancrud,sering beerpergian
129,"ancrud, ngancrud",sering bepergian sambil melakukan hal-hal yang tidak baik
130,"ancul, ngancul","lonjak, melonjak, melambung"
131,ancun,"ucapan utk permalukan lawan, dipakai anak-anak ketikata bermain"
132,ancur,hancur
133,"andarawang, andarawang-andareweng","keras kepala, membawa kehendak sendiri"
134,"andeg, diandeg",ditahan tklak bolehpulang
135,andegleng,duduk ditempat yang lebih tinggi dr orang lain
136,andekak,duduk sila dilebarkan
137,andel,andal
138,andel-andeleun,menyebabkan kurangnya kepercayaan sehhingga orang yang menyuruh kesal
139,andelan,mudah percaya
140,andeprok,duduk bersimpuh rapat tanpa alas
141,"andih,ngandih",merebut tempat atau jabatan orang lain
142,andihi,"tambun, sangat gemuk"
143,andika,kamu
144,andir,"bumbung kecil, penggulung benang tenun"
145,andon,ikhlas
146,andum,"membagi, memberi"
147,"andum salam, andum pidua","memberi doa selamat, ikut mendoakan"
148,angar,"tandus, gersang"
149,"angas, gangas",kejam
150,angel,bantal
151,angen,hulu hati
152,angeun,sayur
153,anggah-ungguh,tata krama
154,"anggal, anggalan","sebelum, awal, sebelumnya"
155,"anggana, anggana sekar","sendiri, menyanyi sendiri"
156,anggang,"renggang, jauh, jarak"
157,anggaresol,"tidak rata (pinggirannya), tidak lurus (barisannya)"
158,angger,tidak berubah
159,anggeuhan,ditentukan
160,anggeus,selesai
161,anggeusan,habis-habisan
162,anggit,mengarang puisi
163,angguklung,sombong
164,anggut,angguk
165,anging,semata
166,angir,mencuci rambut
167,angkanan,"rencana, niat"
168,angkara,"marah, murka, serakah"
169,angkara murka,"sangat marah, sangat murka"
170,angkaribung,"banyak bawaannya, yang dilahirkan di tangsi"
171,angkat,berangkat
172,angkat junjung,mengerjakan sesuatu yang berat
173,"angken, ngangken","aku, menerima dan mengaku (mis kpd tamu)"
174,angkeng,pinggang
175,angker,"menyeramkan, menakutkan (tempat)"
176,angkeub,mendung (suasana awan yang mengandung hujan)
177,"angkeuh, angkeuhan","megah, kebanggaan"
178,angkeut,dagu
179,"angkir, nyangkir","panggil, memanggil, mengundang"
180,angkleung-angkleungan,terapung-apung dihanyutkan arus
181,"angkleung, ngangkleung",hanyut mengapung
182,angkong,permainan judi tiga helai kartu bergambar manusia
183,"angkrak, ngangkrak",sangat marah sambil terus berkata-kata
184,"angkruk, ngangkruk",menongkrong
185,angkuh,"sombong, besar kepala"
186,"angles, ngangles","tidak mengaku, menolak"
187,"angluh, ngangluh",tampak tidak gembira karena sakit
188,angob,menguap (bila oiengantuk)
189,"angon, ngangon",mengembala
190,angonan,binatang yang digembala
191,angot,"lebih-lebih,apabila"
192,"angsar, nyangsar",terkulai menyentuh tanah seperti ekor kuda
193,"angseg, ngangseg","desak, maju, mendesak (menyerang dsb)"
194,"angsel, ngangsel","ganjal kecil, mengganjal dgn suatu ganjal yang kecil (spt mengganjal kaki meja)"
195,angseu,bau / cium
196,"angsit, ngangsit","mempercepat, mengerjakan lebih cepat"
197,angsod,naik sedikit demi sedikit
198,angson,"ngangson, memanaskan suasana"
199,angsrod,mengangkat atau menarik ke atas (celana anak dlm gendongan dsb)
200,angu,renyah
201,anjang,berkunjung
202,anjang sono,kunjungan karena kangen
203,anjang-anjangan,permainan anak
204,anjeucleu,duduk santai pd tempat yang agak tinggi
205,anjeun,"kamu, engkau, anda"
206,anjog,"sampai, tiba"
207,"anjrek, nganjerk",tinggal sementara waktu di kampung atau di rumah orang lain
208,anjuk,menghutang
209,anom,muda
210,anseg,desak
211,"antaparah, teu antaparah",tidak pikir dan ditanya lagi
212,antare,"tenang, tidak tergopoh-gopoh"
213,antawis,"antara, sela-sela"
214,antay,berleret memanjang ke belakang
215,"anteb, ngantebkeun","benar-benar, sungguh-sungguh, menekankan"
216,antek,akhir
217,anteng,"asyik, tenang"
218,"antero, seantero",seluruh
219,"anti, nganti","tunggu, menunggu"
220,antieun,"wanita pendiam, tenang dan bersahaja"
221,"anut, nganut","menurut, patuh, menganut, memeluk"
222,anyar,baru
223,aom,panggilan utk anak lelaki bupati
224,"aor, aor-aoran",suara kucing mencari pasangan
225,"aos, ngaos, maos","aji, baca, mengaji, membaca"
226,apal cangkem,"hapal di luar kepala, namun tak mengerti maksudnya"
227,apan,partikel utk menyatakan suatu yang sudah pasti
228,"apay, apay-apayan",berjalan berleret-leret sambil berpegang-pegangan
229,"apeng, apeng-apengan",lari cepat bagaikan melayang
230,apet,tidak mau berpisah (anak kecil)
